"student_id","age","gpa","country_origin","hobby","intended_major","interests"
1,19,3.1,"Vietnam","Playing sports","Computer Science","Music"
2,21,2.31,"Vietnam","Drawing","Computer Science","Travel"
3,24,3.2,"Vietnam","Gardening","Engineering","Cooking"
4,19,3.95,"Vietnam","Photography","Computer Science","Sports"
5,24,3.77,"Vietnam","Gardening","Business","Cooking"
6,20,2.08,"Vietnam","Playing sports","Business","Reading"
7,20,2.88,"Vietnam","Gardening","Art","Travel"
8,25,3.53,"Vietnam","Gardening","Business","Travel"
9,25,3.72,"Vietnam","Playing sports","Computer Science","Music"
10,22,2.06,"Vietnam","Playing sports","Medicine","Music"
11,23,3.72,"Vietnam","Cooking","Computer Science","Music"
12,22,2.87,"Vietnam","Photography","Business","Travel"
13,23,3.86,"Vietnam","Playing sports","Medicine","Music"
14,21,3.15,"Vietnam","Photography","Engineering","Reading"
15,25,3.87,"Vietnam","Gardening","Medicine","Music"
16,18,3.01,"Vietnam","Playing sports","Art","Reading"
17,18,3.83,"Vietnam","Cooking","Business","Cooking"
18,25,2.59,"Vietnam","Cooking","Medicine","Reading"
19,18,2.9,"Vietnam","Gardening","Engineering","Cooking"
20,21,3.07,"Vietnam","Drawing","Art","Music"
21,24,3.91,"Vietnam","Cooking","Medicine","Cooking"
22,23,2.37,"Vietnam","Gardening","Medicine","Reading"
23,20,3.71,"Vietnam","Drawing","Business","Travel"
24,24,3.18,"Vietnam","Cooking","Computer Science","Music"
25,20,3.98,"Vietnam","Photography","Engineering","Music"
26,20,2.93,"Vietnam","Cooking","Engineering","Cooking"
27,25,2.86,"Vietnam","Gardening","Art","Sports"
28,18,2.16,"Vietnam","Playing sports","Medicine","Sports"
29,23,3.82,"Vietnam","Cooking","Art","Music"
30,19,2.28,"Vietnam","Cooking","Business","Travel"
31,21,3.49,"Vietnam","Drawing","Engineering","Reading"
32,23,2.91,"Vietnam","Photography","Medicine","Sports"
33,20,2.64,"Vietnam","Cooking","Medicine","Reading"
34,25,3.39,"Vietnam","Drawing","Engineering","Travel"
35,19,2.04,"Vietnam","Cooking","Business","Travel"
36,23,2.88,"Vietnam","Drawing","Business","Cooking"
37,24,3.2,"Vietnam","Playing sports","Medicine","Sports"
38,19,2.54,"Vietnam","Playing sports","Computer Science","Cooking"
39,24,2.71,"Vietnam","Gardening","Medicine","Music"
40,24,2.27,"Vietnam","Gardening","Art","Travel"
41,22,3.41,"Vietnam","Gardening","Computer Science","Sports"
42,21,2.17,"Vietnam","Gardening","Art","Music"
43,20,3.89,"Vietnam","Playing sports","Medicine","Travel"
44,22,3.09,"Vietnam","Drawing","Art","Cooking"
45,22,2.24,"Vietnam","Photography","Engineering","Music"
46,22,3.27,"Vietnam","Photography","Medicine","Sports"
47,22,2.8,"Vietnam","Gardening","Engineering","Reading"
48,22,2.19,"Vietnam","Cooking","Medicine","Cooking"
49,18,2.79,"Vietnam","Drawing","Engineering","Reading"
50,24,2.7,"Vietnam","Drawing","Medicine","Travel"
51,18,2.35,"Vietnam","Playing sports","Business","Cooking"
52,19,2.19,"Vietnam","Photography","Computer Science","Sports"
53,23,3.29,"Vietnam","Cooking","Medicine","Cooking"
54,20,3.5,"Vietnam","Gardening","Art","Sports"
55,25,2.77,"Vietnam","Cooking","Computer Science","Cooking"
56,24,3.92,"Vietnam","Photography","Engineering","Cooking"
57,19,3.7,"Vietnam","Gardening","Business","Reading"
58,22,3.57,"Vietnam","Drawing","Computer Science","Reading"
59,23,2.31,"Vietnam","Playing sports","Art","Travel"
60,18,2.74,"Vietnam","Photography","Art","Reading"
61,18,3.39,"Vietnam","Gardening","Computer Science","Sports"
62,20,2.53,"Vietnam","Cooking","Art","Music"
63,21,2.26,"Vietnam","Drawing","Medicine","Sports"
64,22,3.09,"Vietnam","Drawing","Business","Travel"
65,22,2.99,"Vietnam","Drawing","Computer Science","Reading"
66,25,3.02,"Vietnam","Playing sports","Art","Sports"
67,18,2.76,"Vietnam","Drawing","Business","Sports"
68,20,2.52,"Vietnam","Drawing","Business","Cooking"
69,22,2.55,"Vietnam","Drawing","Computer Science","Sports"
70,24,3.99,"Vietnam","Drawing","Computer Science","Travel"
71,19,2.35,"Vietnam","Playing sports","Art","Reading"
72,18,3.51,"Vietnam","Playing sports","Computer Science","Sports"
73,24,3.54,"Vietnam","Cooking","Medicine","Travel"
74,21,3.82,"Vietnam","Gardening","Computer Science","Music"
75,24,3.12,"Vietnam","Drawing","Medicine","Cooking"
76,18,3.29,"Vietnam","Playing sports","Engineering","Reading"
77,18,3.26,"Vietnam","Photography","Engineering","Music"
78,23,2.56,"Vietnam","Drawing","Engineering","Reading"
79,25,2.63,"Vietnam","Gardening","Art","Sports"
80,22,2.39,"Vietnam","Cooking","Medicine","Music"
81,19,2.96,"Vietnam","Cooking","Computer Science","Cooking"
82,20,2.04,"Vietnam","Drawing","Business","Cooking"
83,23,2.66,"Vietnam","Playing sports","Engineering","Sports"
84,20,2.66,"Vietnam","Drawing","Engineering","Music"
85,25,2.43,"Vietnam","Playing sports","Computer Science","Cooking"
86,18,3.74,"Vietnam","Photography","Computer Science","Sports"
87,23,3.21,"Vietnam","Gardening","Computer Science","Cooking"
88,18,3.38,"Vietnam","Playing sports","Business","Travel"
89,23,2.82,"Vietnam","Gardening","Art","Travel"
90,19,3.24,"Vietnam","Gardening","Medicine","Sports"
91,23,3.79,"Vietnam","Playing sports","Business","Cooking"
92,19,2.58,"Vietnam","Gardening","Computer Science","Sports"
93,20,3.44,"Vietnam","Gardening","Business","Reading"
94,18,2.96,"Vietnam","Playing sports","Medicine","Travel"
95,18,2.41,"Vietnam","Photography","Engineering","Sports"
96,24,2.35,"Vietnam","Gardening","Medicine","Music"
97,24,3.5,"Vietnam","Gardening","Engineering","Travel"
98,21,3.41,"Vietnam","Playing sports","Medicine","Travel"
99,24,2.7,"Vietnam","Drawing","Art","Cooking"
100,21,2.59,"Vietnam","Cooking","Business","Reading"
